ID,기록일시,내식물ID,내식물이름,내용,노트태그,생장단계,성장스냅여부,공개여부,할일여부,완료일시,이미지수,이미지목록,생성일시
269925,2025-05-11 12:16,63637,마오리 소포라,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/NHJTTjN4ksv9kMo4YKGVW36S56top6YX_5A89FAC8-C9CE-4C5B-8783-5D09DEA6769F.png,2025-05-11 12:16
269920,2025-05-11 12:15,57851,장미허브,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/wrC2uXMuTRLjcLuxD51OMcEbf3atX3Kq_D31E6A4B-CCDD-4E06-98C2-1A9C919B3805.png,2025-05-11 12:15
268774,2025-05-08 22:01,57851,장미허브,아 ㅡㅡ,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/NcURp2aTPs9aEZ4zZ8JDm17cYCVGBFZH_C6ACDD82-F977-4549-AF6A-43065DDD4812.png,2025-05-08 22:01
261434,2025-04-25 15:57,80869,윌리 아이비,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/pUI3Bsz5EOefvtQ0ouMjzEsNXI4XeqqA_CCE3DC92-1612-4450-B5E1-1153D4F85B22.jpg,2025-04-25 15:57
261433,2025-04-25 15:56,56574,브레이니아 니보사,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/0l48SKERrM3xSdIKasGqZZAsWAz0YL5n_1D3566D8-EE31-413E-AE53-740413070882.jpg,2025-04-25 15:56
259620,2025-04-22 21:16,99120,,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/iV0VxoN2s2wznHfElthy1vMNNNAplDtS_BD1BE986-3EEF-4076-A5DA-EAD958E3AD6C.jpg,2025-04-22 21:16
252358,2025-04-11 13:20,57850,쉐프렐라 선버스터,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/photo/user-photo_8230_78B6F721-8E08-4683-ADD2-0D6F37A19387%252FL0%252F001_1744345210181_1744352175399_HIGH_YunwOJ_ios_IMG_4307.HEIC,2025-04-11 15:18
249266,2025-04-07 17:35,75505,호야 로툰디플로라,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/ia6T5yOweGuyXZmpHpZ2CZMjAWjX3fuP_38472867-E020-45AA-988C-0B90774F6507.jpg,2025-04-07 17:35
249264,2025-04-07 17:34,60928,,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/kdLizwmsANzsmY6s4wKhh25fJ7JyeJKo_E080E11B-8DD5-42DD-82E5-EBCBCE6315AC.png,2025-04-07 17:34
247145,2025-04-04 20:55,59914,필로덴드론 플로리다 뷰티 바리에가타,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/bFgYWHgke7pu2ONpOXbXnAC2RVbEQzxR_DE86CB73-7250-4CD0-AB9C-21D4D8ADED87.png,2025-04-04 20:55
243106,2025-03-30 14:36,93001,청짜보,새 식물을 추가했어요! 🪴 청짜보,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/user-plant/FXybcyRFaqnKtq5gdn2hKs40ouP8T2IE_953D8490-20B7-4A46-9CF0-BBACA874FD0A.jpg,2025-03-30 14:36
243074,2025-03-30 13:42,92990,하트아이비,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/Oi2afWzcEko9yscwK54uvypsdADFe25f_5F6754A2-A885-472B-A352-4C7D63A89467.png,2025-03-30 13:42
241878,2025-03-28 18:38,75504,호야 크로니아나 슈퍼에스키모,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/kWm68BVAEj37n8s4lpYhaHYw1y1dkUXO_0AC2443A-549E-433A-BF02-559D2627003E.png,2025-03-28 18:38
241876,2025-03-28 18:32,70317,호야 윌버그레이브,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/dfLUvRTxh9ebcr9V2tBKtcJH0sh10jvK_F592E7AC-48B9-41EF-B53B-9CB4A8BAA34B.jpg,2025-03-28 18:32
241875,2025-03-28 18:29,75505,호야 로툰디플로라,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/T8cAdFZJd4WFHEciSJTh2YN5opwiPs8A_CF613BEB-69CE-46D2-85AA-8408F5E60A8A.png,2025-03-28 18:29
241874,2025-03-28 18:24,61268,제주애기모람,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/OiQM1vOcAjJ3wEgWU1hgLWOWnqdAAcaf_978B51AF-508B-4D55-9DAE-EBD12FE4C7DC.png,2025-03-28 18:24
239296,2025-03-24 23:02,91574,,새 식물을 추가했어요! 🪴 몬스테라 델리시오사,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/user-plant/J2uPzfmX40j0rApjYseX8b3eKMxpp2mA_A77102FE-0171-4ACF-8A97-51FE5C0603E2.jpg,2025-03-24 23:02
237149,2025-03-22 09:57,90605,아라비카 커피나무,새 식물을 추가했어요! 🪴 아라비카 커피나무,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/user-plant/549XqiMPFOYEsgmrF9sMxRC6Hs6AtPGj_22196A45-2070-433B-8283-FA83F226E1F4.jpg,2025-03-22 09:57
236806,2025-03-21 18:07,48239,산세베리아,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/YUzwkSFqsre73fj0qqN8FTS7Qf6dgqdA_DD2144A1-EDEF-4BBC-9ADE-EF712FD6253F.png,2025-03-21 18:07
